Key,English
jz_BuffTendingFDesc,"Your [f21b10]Severe Wound[-] is bandaged and healing. Try not to get hurt and make sure to change it with another [35bd00]Sanitizing Bandage[-] when it gets dirty so it does not get worse.\n\n-1 Stamina every 2 sec\n-8% Mobility\n14% more Health Loss"
jz_BuffTendingCDesc,"Your [f21b10]Wound[-] is bandaged and healing. Try not to get hurt and make sure to change it with another [35bd00]First Aid Bandage[-] when it gets dirty so it does not get worse.\n\n-1 Stamina every 8 sec\n-3% Mobility\n8% more Health Loss"
jz_BuffDirtyBandageCDesc,"Your [f21b10]Wound’s[-] bandage is dirty and starting to smell. Change it with another [35bd00]First Aid Bandage[-] soon or it could get worse\n\n-1 Stamina every 1 sec\n-6% Mobility\n14% more Health Loss\nUntil Treated"
jz_BuffDirtyBandageFDesc,"Your [f21b10]Amputation Wound’s[-] bandage is dirty and starting to smell. Change it with a [35bd00]Sanitizing Bandage[-] soon or it could get worse.\n\n-2 Stamina every 1 sec\n-10% Mobility\n20% more Health Loss\nUntil Treated"
jz_BuffDirtyBandageBDesc,"Your [f21b10]Wound’s[-] bandage is dirty and starting to smell. Change it with a [35bd00]Bandage[-] soon or it could get worse\n\n-1 Stamina every 2 sec\n-5% Mobility\n12% more Health Loss\nUntil Treated"
jz_BuffTendingGDesc,"Your [f21b10]Amputation Wound[-] is bandaged and healing. Try not to get hurt and make sure to change it with a [35bd00]Sanitizing Bandage[-] when it gets dirty so it does not get worse.\n\n-1 Stamina every 1 sec\n-10% Mobility\n16% more Health Loss"
jz_BuffTendingDDesc,"Your [f21b10]Wound[-] is bandaged and healing. Try not to get hurt and make sure to change it with another [35bd00]First Aid Bandage[-] when it gets dirty so it does not get worse.\n\n-1 Stamina every 6 sec\n-4% Mobility\n10% more Health Loss"
jz_BuffDirtyBandageDDesc,"Your [f21b10]Severe Wound’s[-] bandage is dirty and starting to smell. Change it with a [35bd00]First Aid Bandage[-] soon or it could get worse.\n\n-1 Stamina every 1 sec\n-7% Mobility\n16% more Health Loss\nUntil Treated"
jz_BuffAmputationWoundDesc,"You've removed all the dead flesh and now you have an [f21b10]Amputation Wound[-]. Treat it with [35bd00]Bandage[-] to stop the bleeding and be sure to change it with a [35bd00]Sanitizing Bandage[-] when it gets dirty.\n\n-3 Stamina every 1 sec\n-1 Health every 10 sec\n-15% Mobility\n-1 Wellness every 1 min\n25% more Health Loss\nUntil Treated"
jz_BuffTendingThreeDesc,"Your [f21b10]Wound[-] is bandaged and healing. Try not to get hurt and make sure to change it with another [35bd00]First Aid Bandage[-] when it gets dirty so it does not get worse.\n\n-1 Stamina every 2 sec\n-4% Mobility\n10% more Health Loss"
jz_BuffWoundDesc,"You've gotten a [f21b10]Wound[-]. Treat it with a [35bd00]First Aid Bandage[-] and be sure to change it when it gets dirty.\n\n-1 Stamina every 1 sec\n-1 Health every 20 sec\n-8% Mobility\n-1 Wellness every 2 min\n20% more Health Loss\nUntil Treated"
jz_BuffTendingADesc,"Your [f21b10]Small Wound[-] is bandaged and healing. Try not to get hurt and make sure to change it with another [35bd00]Bandage[-] when it gets dirty so it does not get worse.\n\n-1 Stamina every 10 sec\n-1% Mobility\n4% more Health Loss"
jz_BuffDirtyBandageADesc,"Your [f21b10]Small Wound’s[-] bandage is dirty and starting to smell. Change it with another [35bd00]Bandage[-] soon or it could get worse\n\n-1 Stamina every 3 sec\n-3% Mobility\n10% more Health Loss\nUntil Treated"
jz_BuffTendingBDesc,"Your [f21b10]Small Wound[-] is bandaged and healing. Try not to get hurt and make sure to change it with another [35bd00]Bandage[-] when it gets dirty so it does not get worse.\n\n-1 Stamina every 9 sec\n-2% Mobility\n6% more Health Loss"
jz_BuffSevereWoundDesc,"You've gotten a [f21b10]Severe Wound[-]. Treat it with [35bd00]Sanitized Bandage[-] and be sure to change it when it gets dirty.\n\n-2 Stamina every 1 sec\n-1 Health every 15 sec\n-12% Mobility\n-1 Wellness every 1.5 min\n25% more Health Loss\nUntil Treated"
jz_buffInjuryConcussionDesc,"You have suffered a [f21b10]Concussion[-] and may experience dizziness and headaches. You will not be able to use the iron sights on ranged weapons until its healed\nUse [35bd00]Painkillers[-] to cure this.\n\nYour max health is lowered by {cvar(.ConcussionHealthBlockage:0.0)}."
jz_BuffSmallWoundDesc,"You've gotten a [f21b10]Small wound[-]. Treat it with a [35bd00]Bandage[-] and be sure to change it when it gets dirty.\n\n-1 Stamina every 2 sec\n-1 Health every 25 sec\n-4% Mobility\n-1 Wellness every 2.5 min\n15% more Health Loss\nUntil Treated"
jz_buffArmBrokenDesc,"You have gotten a [f21b10]Broken Arm[-], limiting use to one-handed weapons and tools. This is also slowing your weapon handling, reload speed and swing speeds. A [35bd00]Splint[-] or cast will speed up healing.\nRanged or power attacks will delay healing or even hurt you.\n\nYour max health is lowered by {cvar(.ArmHurtHealthBlockage:0.0)}."
jz_buffArmCastDesc,"Your arm is in a cast, limiting use to one-handed weapons and tools. This is also slowing your weapon handling, reload and swing speeds. This will take some time to heal.\nRanged or power attacks will delay healing or even hurt you. Further critical hits may result in a broken arm.\n\nYour max health is lowered by {cvar(.ArmHurtHealthBlockage:0.0)}."
jz_buffArmSplintedDesc,"You arm is splinted, limiting use to one-handed weapons and tools. This is also slowing your weapon handling, reload and swing speeds. This will take some time to heal.\nRanged or power attacks will delay healing or even hurt you. Further critical hits may result in a broken arm.\n\nYour max health is lowered by {cvar(.ArmHurtHealthBlockage:0.0)}."
jz_buffArmSprainedDesc,"Your arm is sprained, limiting use to one-handed weapons and tools. This is also slowing your weapon handling, reload and swing speeds. This will take some time to heal.\nRanged or power attacks will delay healing or even hurt you. Further critical hits may result in a broken arm.\n\nYour max health is lowered by {cvar(.ArmHurtHealthBlockage:0.0)}."
jz_buffNewbieCoatDesc,"All your status effects persist through death. This coat temporarily protects you from the heat and the cold. You are also protected from the full penalty of death until level 20.\nWhile your Coat is active there is no XP penalty on death but you will still lose Wellness up to a max of 10 at level 21.\n\nThis protection will decrease and disappear completely so think ahead."
AmputationTrackerDesc,"Player Amputations {cvar($amputationCounter:00)}\n\n- +{cvar($amputationCounter:00)}% Longer to Pick Locks\n- +{cvar($amputationCounter:00)}% Longer Crafting Time\n-  -{cvar($amputationCounter:00)}% Slower Mobility"
StimulantDesc,"You are under the effect of Stimulants. The more Stimulants you take the stronger the effect gets, with a max effect of 6 active Stimulants\n\nActive Stimulant Dosage - {cvar($stimulantCounter:0)}\n- Increased Thirst\n- Stops Fatigue drain\n- +{cvar($stimulantSpeedDisplay:00)}% Mobility\n- +{cvar($stimulantDosageDisplay:00)}% Scavenging Speed\n- +{cvar($stimulantDosageDisplay:00)}% Harvesting Amount\n- +{cvar($stimulantCounter:0)} Degrees\n- -{cvar($stimulantDownSideDisplay:0)}% Weapon Handling"
StimulantWithdrawalDesc,"Looks like those Stimulants have a down side and your going through withdrawal. You can wait for it to pass or take some more stimulants\n\nWithdrawal Severity - Lv.{cvar($withdrawalStrength:0)}\n- Increased Fatigue drain\n- -{cvar($withdrawalSpeedDisplay:00)}% Mobility\n- -{cvar($withdrawalScavengingDisplay:00)}% Scavenging Speed\n- -{cvar($withdrawalShiver:00)} Degrees\n- -{cvar($withdrawalSpeedDisplay:0)}% Weapon Handling"
jz_BuffFatiguedDesc,"You’re getting fatigued. Rest on a bed or furniture to raise your Fatigue Level back to full. Resting on Beds will also heal you.\n\n- +10% Health Loss\n- -5% Mobility Speed"
jz_buffEncumberedInvDesc,"Moving becomes harder when you are carrying too many items in your inventory. Carry less or wear clothes with more pockets or add more pockets to your clothes.\n\nThe number is the number of items that are encumbering you."
jz_BuffHealthyDietDesc,"Because you’re eating a very balanced diet you gain these benefits\n\n- Naturally healing when full\n- Able to gain Wellness from food\n- Able to gain Health from food\n- +1 Stamina Per 3 seconds\n- +10% Movement Speed"
jz_BuffBalancedDietDesc,"Because you’re eating a balanced diet you gain these benefits\n-Able to gain Wellness from food\n-Able to gain Health from food"
jz_BuffGoodDietDesc,"Because you’re eating a more balanced diet you gain these benefits\n-Able to gain Health from food"
jz_BuffLacerationPart1BleedDesc,"You have recived a deep cut. Use a [35bd00]Bandage[-] to stop the bleeding. If its not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n- 8% Slower Mobility\n-{cvar(.lacerationLeftFootHealthBlockage:0)}% Health Blockage\n- 5% Less Bleed Resistance"
jz_BuffLacerationPart2SutureDesc,"To close your deep cut you need a [35bd00]Suture Kit[-] to close the wound. If it’s not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n- 8% Slower Mobility\n-{cvar(.lacerationLeftFootHealthBlockage:0)}% Health Blockage\n- 5% Less Bleed Resistance"
jz_BuffLacerationLeftFootStitchedDesc,"The laceration on your left foot is treated for now but it will need a new [35bd00]Bandage[-] soon.\n\nEffects:\n- 4% Slower Mobility\n- 3% Less Bleed Resistance"
jz_BuffLacerationLeftFootDirtyBandageDesc,"The laceration on your left foot needs a new [35bd00]Bandage[-] to finish healing. If its not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n- 6% Slower Mobility\n- 4% Less Bleed Resistance"
jz_BuffLacerationLeftFootTendedDesc,"The laceration on your left foot is treated. Try not to hurt it so it will heal.\n\nEffects:\n- 3% Slower Mobility\n- 2% Less Bleed Resistance"
jz_BuffLacerationRightFootStitchedDesc,"The laceration on your right foot is treated for now but it will need a new [35bd00]Bandage[-] soon.\n\nEffects:\n- 4% Slower Mobility\n- 3% Less Bleed Resistance"
jz_BuffLacerationRightFootDirtyBandageDesc,"The laceration on your right foot needs a new [35bd00]Bandage[-] to finish healing. If its not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n- 6% Slower Mobility\n- 4% Less Bleed Resistance"
jz_BuffLacerationRightFootTendedDesc,"The laceration on your right foot is treated. Try not to hurt it so it will heal.\n\nEffects:\n- 3% Slower Mobility\n- 2% Less Bleed Resistance"
jz_BuffLacerationLeftLegStitchedDesc,"The laceration on your left leg is treated for now but it will need a new [35bd00]Bandage[-] soon.\n\nEffects:\n- 4% Slower Mobility\n- 3% Less Bleed Resistance"
jz_BuffLacerationLeftLegDirtyBandageDesc,"The laceration on your left leg needs a new [35bd00]Bandage[-] to finish healing. If its not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n- 6% Slower Mobility\n- 4% Less Bleed Resistance"
jz_BuffLacerationLeftLegTendedDesc,"The laceration on your left leg is treated. Try not to hurt it so it will heal.\n\nEffects:\n- 3% Slower Mobility\n- 2% Less Bleed Resistance"
jz_BuffLacerationRightLegStitchedDesc,"The laceration on your right leg is treated for now but it will need a new [35bd00]Bandage[-] soon.\n\nEffects:\n- 4% Slower Mobility\n- 3% Less Bleed Resistance"
jz_BuffLacerationRightLegDirtyBandageDesc,"The laceration on your right leg needs a new [35bd00]Bandage[-] to finish healing. If its not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n- 6% Slower Mobility\n- 4% Less Bleed Resistance"
jz_BuffLacerationRightLegTendedDesc,"The laceration on your right leg is treated. Try not to hurt it so it will heal.\n\nEffects:\n- 3% Slower Mobility\n- 2% Less Bleed Resistance"
jz_BuffLacerationLeftArmStitchedDesc,"The laceration on your left arm is treated for now but it will need a new [35bd00]Bandage[-] soon.\n\nEffects:\n- 4% Slower Mobility\n- 3% Less Bleed Resistance"
jz_BuffLacerationLeftArmDirtyBandageDesc,"The laceration on your left arm needs a new [35bd00]Bandage[-] to finish healing. If its not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n- 6% Slower Mobility\n- 4% Less Bleed Resistance"
jz_BuffLacerationLeftArmTendedDesc,"The laceration on your left arm is treated. Try not to hurt it so it will heal.\n\nEffects:\n- 3% Slower Mobility\n- 2% Less Bleed Resistance"
jz_BuffLacerationRightArmStitchedDesc,"The laceration on your right arm is treated for now but it will need a new [35bd00]Bandage[-] soon.\n\nEffects:\n- 4% Slower Mobility\n- 3% Less Bleed Resistance"
jz_BuffLacerationRightArmDirtyBandageDesc,"The laceration on your right arm needs a new [35bd00]Bandage[-] to finish healing. If its not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n- 6% Slower Mobility\n- 4% Less Bleed Resistance"
jz_BuffLacerationRightArmTendedDesc,"The laceration on your right arm is treated. Try not to hurt it so it will heal.\n\nEffects:\n- 3% Slower Mobility\n- 2% Less Bleed Resistance"
jz_BuffLacerationLeftHandStitchedDesc,"The laceration on your left hand is treated for now but it will need a new [35bd00]Bandage[-] soon.\n\nEffects:\n- 4% Slower Mobility\n- 3% Less Bleed Resistance"
jz_BuffLacerationLeftHandDirtyBandageDesc,"The laceration on your left hand needs a new [35bd00]Bandage[-] to finish healing. If its not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n- 6% Slower Mobility\n- 4% Less Bleed Resistance"
jz_BuffLacerationLeftHandTendedDesc,"The laceration on your left hand is treated. Try not to hurt it so it will heal.\n\nEffects:\n- 3% Slower Mobility\n- 2% Less Bleed Resistance"
jz_BuffLacerationRightHandStitchedDesc,"The laceration on your right hand is treated for now but it will need a new [35bd00]Bandage[-] soon.\n\nEffects:\n- 4% Slower Mobility\n- 3% Less Bleed Resistance"
jz_BuffLacerationRightHandDirtyBandageDesc,"The laceration on your right hand needs a new [35bd00]Bandage[-] to finish healing. If its not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n- 6% Slower Mobility\n- 4% Less Bleed Resistance"
jz_BuffLacerationRightHandTendedDesc,"The laceration on your right hand is treated. Try not to hurt it so it will heal.\n\nEffects:\n- 3% Slower Mobility\n- 2% Less Bleed Resistance"
jz_BuffLacerationStomachStitchedDesc,"The laceration on your stomach is treated for now but it will need a new [35bd00]Bandage[-] soon.\n\nEffects:\n- 4% Slower Mobility\n- 3% Less Bleed Resistance"
jz_BuffLacerationStomachDirtyBandageDesc,"The laceration on your stomach needs a new [35bd00]Bandage[-] to finish healing. If its not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n- 6% Slower Mobility\n- 4% Less Bleed Resistance"
jz_BuffLacerationStomachTendedDesc,"The laceration on your stomach is treated. Try not to hurt it so it will heal.\n\nEffects:\n- 3% Slower Mobility\n- 2% Less Bleed Resistance"
jz_BuffLacerationNeckStitchedDesc,"The laceration on your neck is treated for now but it will need a new [35bd00]Bandage[-] soon.\n\nEffects:\n- 4% Slower Mobility\n- 3% Less Bleed Resistance"
jz_BuffLacerationNeckDirtyBandageDesc,"The laceration on your neck needs a new [35bd00]Bandage[-] to finish healing. If its not treated it will lead to a [f21b10]Medical Infection[-].\n\nEffects:\n- 6% Slower Mobility\n- 4% Less Bleed Resistance"
jz_BuffLacerationNeckTendedDesc,"The laceration on your neck is treated. Try not to hurt it so it will heal.\n\nEffects:\n- 3% Slower Mobility\n- 2% Less Bleed Resistance"
jz_BuffSprainedLeftAnkleDesc,"You have sprained your left ankle. Be careful not to hurt it more or you could break it. Rest or Sleep to speed up the healing.\n\nEffects:\n7% Slower Mobility\n2% Less Jump Strength"
jz_BuffBrokenLeftAnkleDesc,"You have broken your left ankle. Use a [35bd00]Splint[-] or [35bd00]Cast[-] to begin healing it. If not treated it will lead to a [f21b10]Medical Infection[-]\n\nEffects:\n15% Slower Mobility\n5% Less Jump Strength\n{cvar(.LeftAnkleHealthBlockage:0)} Health Blockage"
